id,name,pin_code,district_id,district_name,state_id,state_name,state_code,country_id,country_name
9,Delhi,110009,431,North West Delhi,10,Delhi,DL,1,India
10,Delhi,110010,555,South West Delhi,10,Delhi,DL,1,India
16,Delhi,110016,555,South West Delhi,10,Delhi,DL,1,India
17,New Delhi,110017,549,South Delhi,10,Delhi,DL,1,India
21,Delhi,110021,555,South West Delhi,10,Delhi,DL,1,India
22,Delhi,110022,555,South West Delhi,10,Delhi,DL,1,India
23,Delhi,110023,555,South West Delhi,10,Delhi,DL,1,India
25,New Delhi,110025,549,South Delhi,10,Delhi,DL,1,India
29,New Delhi,110029,555,South West Delhi,10,Delhi,DL,1,India
30,Delhi,110030,555,South West Delhi,10,Delhi,DL,1,India
31,Delhi,110031,165,East Delhi,10,Delhi,DL,1,India
32,Delhi,110032,427,North East Delhi,10,Delhi,DL,1,India
37,Delhi,110037,555,South West Delhi,10,Delhi,DL,1,India
38,Delhi,110038,555,South West Delhi,10,Delhi,DL,1,India
47,Delhi,110047,555,South West Delhi,10,Delhi,DL,1,India
50,Delhi,110051,165,East Delhi,10,Delhi,DL,1,India
52,East Delhi,110053,427,North East Delhi,10,Delhi,DL,1,India
56,Delhi,110057,555,South West Delhi,10,Delhi,DL,1,India
60,Delhi,110061,555,South West Delhi,10,Delhi,DL,1,India
65,Delhi,110066,555,South West Delhi,10,Delhi,DL,1,India
66,Delhi,110067,555,South West Delhi,10,Delhi,DL,1,India
67,Delhi,110068,555,South West Delhi,10,Delhi,DL,1,India
69,Delhi,110070,555,South West Delhi,10,Delhi,DL,1,India
71,Delhi,110072,555,South West Delhi,10,Delhi,DL,1,India
72,New Delhi,110073,555,South West Delhi,10,Delhi,DL,1,India
73,South West Delhi,110074,555,South West Delhi,10,Delhi,DL,1,India
77,New Delhi,110078,616,West Delhi,10,Delhi,DL,1,India
83,North West Delhi,110085,425,North Delhi,10,Delhi,DL,1,India
87,Delhi,110089,431,North West Delhi,10,Delhi,DL,1,India
89,Delhi,110091,165,East Delhi,10,Delhi,DL,1,India
90,Delhi,110092,165,East Delhi,10,Delhi,DL,1,India
91,Delhi,110093,165,East Delhi,10,Delhi,DL,1,India
92,Delhi North East,110094,427,North East Delhi,10,Delhi,DL,1,India
93,Delhi,110095,165,East Delhi,10,Delhi,DL,1,India
94,Delhi,110096,165,East Delhi,10,Delhi,DL,1,India
95,Delhi,110097,555,South West Delhi,10,Delhi,DL,1,India
115,Dlf Qe,122002,214,Gurgaon,13,Haryana,HR,1,India
117,Narsinghpur,122004,214,Gurgaon,13,Haryana,HR,1,India
119,Railway Road,122006,214,Gurgaon,13,Haryana,HR,1,India
124,Ambala  HQ,122011,214,Gurgaon,13,Haryana,HR,1,India
126,Industrial Complex Dundahera,122016,214,Gurgaon,13,Haryana,HR,1,India
127,Palam Vihar,122017,214,Gurgaon,13,Haryana,HR,1,India
128,Ambala  HQ,122018,214,Gurgaon,13,Haryana,HR,1,India
129,Nsg Camp Manesar,122051,214,Gurgaon,13,Haryana,HR,1,India
133,Sohna,122103,214,Gurgaon,13,Haryana,HR,1,India
134,Ferozepur Jhirka,122104,214,Gurgaon,13,Haryana,HR,1,India
136,Nuh,122107,214,Gurgaon,13,Haryana,HR,1,India
137,Nagina,122108,214,Gurgaon,13,Haryana,HR,1,India
139,Nanukalan,122414,214,Gurgaon,13,Haryana,HR,1,India
140,Khalilpur,122502,214,Gurgaon,13,Haryana,HR,1,India
141,Pataudi,122503,214,Gurgaon,13,Haryana,HR,1,India
143,Garhi Harsaru,122505,214,Gurgaon,13,Haryana,HR,1,India
145,Punhana,122508,214,Gurgaon,13,Haryana,HR,1,India
229,Sirsa,125101,536,Sirsa,13,Haryana,HR,1,India
280,Ambala  HQ,131022,545,Sonipat,13,Haryana,HR,1,India
281,Ambala  HQ,131023,545,Sonipat,13,Haryana,HR,1,India
282,Ambala  HQ,131024,545,Sonipat,13,Haryana,HR,1,India
285,Sonipat,131029,545,Sonipat,13,Haryana,HR,1,India
286,Sonipat,131039,545,Sonipat,13,Haryana,HR,1,India
287,Ganaur,131101,545,Sonipat,13,Haryana,HR,1,India
288,Ambala  HQ,131102,545,Sonipat,13,Haryana,HR,1,India
289,Ambala  HQ,131103,545,Sonipat,13,Haryana,HR,1,India
290,Gohana,131301,545,Sonipat,13,Haryana,HR,1,India
291,Gohana,131302,545,Sonipat,13,Haryana,HR,1,India
292,Sonipat,131304,545,Sonipat,13,Haryana,HR,1,India
293,Gohana,131305,545,Sonipat,13,Haryana,HR,1,India
294,Ambala  HQ,131306,545,Sonipat,13,Haryana,HR,1,India
295,Kharkhoda,131402,545,Sonipat,13,Haryana,HR,1,India
297,Ambala  HQ,131408,545,Sonipat,13,Haryana,HR,1,India
298,Ambala  HQ,131409,545,Sonipat,13,Haryana,HR,1,India
327,Ambala,133001,14,Ambala,13,Haryana,HR,1,India
329,Ambala,133005,14,Ambala,13,Haryana,HR,1,India
346,Ambala,134007,14,Ambala,13,Haryana,HR,1,India
401,Rupnagar,140103,383,Mohali,28,Punjab,PB,1,India
435,Rajpura,140601,447,Patiala,28,Punjab,PB,1,India
454,Ludhiana,141015,352,Ludhiana,28,Punjab,PB,1,India
455,Chandigarh HQ,141016,352,Ludhiana,28,Punjab,PB,1,India
548,Amritsar -I,143009,18,Amritsar,28,Punjab,PB,1,India
550,Raja Sansi,143101,18,Amritsar,28,Punjab,PB,1,India
551,Ajnala,143102,18,Amritsar,28,Punjab,PB,1,India
553,Amritsar -I,143105,18,Amritsar,28,Punjab,PB,1,India
556,Chogawan,143109,18,Amritsar,28,Punjab,PB,1,India
557,Khilchian,143111,566,Tarn Taran,28,Punjab,PB,1,India
558,Rayya,143112,18,Amritsar,28,Punjab,PB,1,India
560,TARN-TARAN,143114,18,Amritsar,28,Punjab,PB,1,India
562,Amritsar,143116,18,Amritsar,28,Punjab,PB,1,India
563,Amritsar,143117,18,Amritsar,28,Punjab,PB,1,India
565,Baba Bakala,143119,18,Amritsar,28,Punjab,PB,1,India
566,Amritsar,143149,18,Amritsar,28,Punjab,PB,1,India
568,Baba Bakala,143202,18,Amritsar,28,Punjab,PB,1,India
570,Amritsar,143204,18,Amritsar,28,Punjab,PB,1,India
573,TARN-TARAN,143302,18,Amritsar,28,Punjab,PB,1,India
574,TARN-TARAN,143303,18,Amritsar,28,Punjab,PB,1,India
575,Patti,143304,566,Tarn Taran,28,Punjab,PB,1,India
577,Chandigarh Region,143401,566,Tarn Taran,28,Punjab,PB,1,India
578,TARN-TARAN,143402,18,Amritsar,28,Punjab,PB,1,India
579,Kang,143406,566,Tarn Taran,28,Punjab,PB,1,India
581,Amritsar,143408,566,Tarn Taran,28,Punjab,PB,1,India
582,Nausher Panvan,143409,18,Amritsar,28,Punjab,PB,1,India
591,TARN-TARAN,143422,566,Tarn Taran,28,Punjab,PB,1,India
619,Amritsar- II,143601,18,Amritsar,28,Punjab,PB,1,India
620,Dera Baba Nanak,143602,213,Gurdaspur,28,Punjab,PB,1,India
624,Ajnala,143606,18,Amritsar,28,Punjab,PB,1,India
669,Hoshiarpur,144202,231,Hoshiarpur,28,Punjab,PB,1,India
736,Hoshiarpur,144527,231,Hoshiarpur,28,Punjab,PB,1,India
738,Hoshiarpur,144529,231,Hoshiarpur,28,Punjab,PB,1,India
740,Hoshiarpur,144531,231,Hoshiarpur,28,Punjab,PB,1,India
767,Jalandhar -II,144805,244,Jalandhar,28,Punjab,PB,1,India
772,Pathankot,145023,213,Gurdaspur,28,Punjab,PB,1,India
840,Barnala,148102,504,Sangrur,28,Punjab,PB,1,India
841,Barnala,148103,56,Barnala,28,Punjab,PB,1,India
865,Jaitu,151205,181,Faridkot,28,Punjab,PB,1,India
918,Chandigarh,160002,106,Chandigarh,6,Chandigarh,CH,1,India
932,Chandigarh HQ,160025,106,Chandigarh,6,Chandigarh,CH,1,India
934,Chandigarh,160036,106,Chandigarh,6,Chandigarh,CH,1,India
940,Chandigarh,160101,106,Chandigarh,6,Chandigarh,CH,1,India
941,Chandigarh,160102,106,Chandigarh,6,Chandigarh,CH,1,India
942,Chandigarh HQ,160103,383,Mohali,28,Punjab,PB,1,India
959,Shimla HQ,171102,541,Solan,14,Himachal Pradesh,HP,1,India
